anio;semana;precipitacion;temp. Max;temp. Min;humedad 
2021;37;0;29.4;17.6;77.3
2021;38;0;30;16.8;77.7
2021;39;0;30.6;16.7;79.6
2021;40;0;30.6;17.9;76.8
2021;41;1;30.6;17.4;72
2021;42;0;29.6;17.2;76.2
2021;43;0;31.4;17.3;76.4
2021;44;0;30.5;16.8;72.3
2021;45;0;32.7;18.2;71.3
2021;46;0;30;18.2;72.7
2021;47;0;31.4;18.5;72.3
2021;48;0;30.5;19.4;74.5
2021;49;0;31.8;19.4;70.7
2021;50;0;31.8;20;70.5
2021;51;0;32;20.2;75.3
2021;52;1;33;19.5;73.7
2021;53;0;33.6;20.3;71.5
2022;1;0;33.2;19.6;69.8
2022;2;0;33.8;20.8;69.4
2022;3;0;34.3;22.2;71.8
2022;4;0;34.4;22;71.5
2022;5;0;34.7;22.3;67.1
2022;6;0;34.8;21.4;66.5
2022;7;0;34;22.8;68.1
2022;8;0;35;22.4;66.1
2022;9;0;35.4;23.2;69.2
2022;10;0;35;23.4;73.4
2022;11;0;35.4;23.6;74.9
2022;12;0;35.4;23.6;76
2022;13;0;33.8;22.2;71.3
2022;14;0;34.4;21.8;78.9
2022;15;0;33.2;22;75.3
2022;16;0;32.8;21.2;78.3
2022;17;0;31.4;19.6;78.4
2022;18;0;31;19;79.7
2022;19;0;33.8;19.4;73.6
2022;20;0;31.6;18.4;74
2022;21;0;31.6;18.8;73.6
2022;22;0;30.8;17.5;75.9
2022;23;0;31.4;18;75
2022;24;0;29.8;18.1;77.3
2022;25;0;30;17.1;77.8
2022;26;0;29.8;16.7;77.2
2022;27;0;29.5;17.5;77.1
2022;28;0;30.6;17.1;79.1
2022;29;0;29.4;16.8;78.5
2022;30;0;30.2;17.5;77.6
2022;31;0;31;17;77.7
2022;32;0;29.8;16.7;78.6
2022;33;0;32.4;16.7;76.3
2022;34;0;30.8;16.4;79.6
2022;35;0;30;16.5;77.8
2022;36;0;29.8;16.4;75.8
2022;37;0;31.2;17;78.8
2022;38;0;31;16.5;74.2
2022;39;0;30;16.3;72.3
2022;40;0;31;15.7;72.4
2022;41;0;30.2;15.7;72.1
2022;42;0;31.2;15.6;74.5
2022;43;0;30.6;16.5;71.3
2022;44;0;30.4;16.7;73.3
2022;45;0;31.2;16.7;78.1
2022;46;0;31.8;17.7;77.8
2022;47;0;32.6;17.9;75
2022;48;0;33.8;18.1;70
2022;49;0;35;19.8;73.4
2022;50;0;33;17.9;70.1
2022;51;0;34.8;21.7;69.2
2022;52;0;35.2;21.7;68.8
2022;53;0;35;21.6;74.9
